Name,Grape,Score,Price,Normalized_Score
"Sandeman Tawny Porto, Portugal",Port Blend Red,87,55,7.4
"Anselmo Mendes 'Muros Antigos' Loureiro, Vinho Verde, Portugal",Loureiro,88,40,7.6
"Joao Portugal Ramos Marques de Borba Reserva, Alentejo, Portugal",Portuguese Red Blend,91,179,8.2
"Dao Sul Casa de Santar, Dao, Portugal",Portuguese Red Blend,88,35,7.6
"Alvaro Castro Quinta da Pellada, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,91,144,8.2
"Ferreira Duque de Braganca 20 Year Old Tawny Port, Portugal",Port Blend Red,90,209,8.0
"Fonseca Premium Reserve Bin 27 Port, Portugal",Port Blend Red,89,65,7.8
"Quinta do Zambujeiro 'Zambujeiro', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,90,288,8.0
"Herdade dos Grous Moon Harvested, Alentejo, Portugal",Alicante Bouschet,89,109,7.8
"Anselmo Mendes 'Parcela Unica' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),92,124,8.4
"Adega Cooperativa de Borba 'Rotulo Cortica' Reserva, Alentejo, Portugal",Alicante Bouschet - Aragonez - Trincadeira,88,65,7.6
"Julio Bastos Dona Maria Gran Reserva, Alentejo, Portugal",Portuguese Red Blend,91,129,8.2
"Offley Tawny Port, Portugal",Port Blend Red,89,55,7.8
"Barros Tawny Port, Portugal",Port Blend Red,88,45,7.6
"Casa Cadaval Padre Pedro, Vinho Regional Tejo, Portugal",Rare Red Blend,86,30,7.2
"DFJ Vinhos Portada Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,87,30,7.4
"Azinhaga de Ouro Reserva, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,30,7.4
"Caves Sao Joao Frei Joao Reserva, Bairrada, Portugal",Rare Red Blend,88,70,7.6
"Herdade da Malhadinha Nova 'Monte de Peceguina', Alentejo, Portugal",Alicante Bouschet - Aragonez,87,65,7.4
"Filipa Pato Nossa Calcario Branco, Bairrada, Portugal",Bical,90,109,8.0
"Caves Sao Joao 'Porta dos Cavaleiros' Reserva Tinto, Dao, Portugal",Portuguese Red Blend,89,164,7.8
"Niepoort Vertente Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,90,70,8.0
"Herdade do Mouchao Dom Rafael Tinto, Alentejo, Portugal",Portuguese Red Blend,88,50,7.6
"Quinta do Vale D. Dona Maria Vintage Port, Portugal",Port Blend Red,91,219,8.2
"Quinta do Vesuvio Tinto, Douro, Portugal",Portuguese Red Blend,91,214,8.2
"Luis Pato Vinha Pan Tinto, Beiras, Portugal",Alicante Bouschet,91,119,8.2
"Quinta do Cotto Grande Escolha, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,179,7.8
"Ferreira Port Branco, Portugal",Port Blend White,87,45,7.4
"Sandeman 10 Year Old Tawny Port, Portugal",Port Blend Red,89,114,7.8
"Quinta do Portal Grande Reserva, Douro, Portugal",Portuguese Red Blend,89,134,7.8
"Dao Sul Quinta de Cabriz Reserva, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,89,45,7.8
"Quinta do Pego Vintage Port, Portugal",Port Blend Red,89,209,7.8
"Caves Sao Joao Frei Joao, Bairrada, Portugal",Rare Red Blend,86,70,7.2
"Romariz Vintage Port, Portugal",Port Blend Red,89,258,7.8
